Year;Month;Exchange
2020;Jan;13662
2020;Feb;14234
2020;Mar;16367
2020;Apr;15157
2020;Mei;14733
2020;Jun;14302
2020;Jul;14653
2020;Aug;14554
2020;Sept;14918
2020;Oct;14690
2020;Nov;14128
2020;Des;14105
2019;Jan;14072
2019;Feb;14062
2019;Mar;14244
2019;Apr;14215
2019;Mei;14385
2019;Jun;14141
2019;Jul;14026
2019;Aug;14237
2019;Sept;14174
2019;Oct;14008
2019;Nov;14102
2019;Des;13901
2018;Jan;13413
2018;Feb;13707
2018;Mar;13756
2018;Apr;13877
2018;Mei;13951
2018;Jun;14404
2018;Jul;14413
2018;Aug;14711
2018;Sept;14929
2018;Oct;15227
2018;Nov;14339
2018;Des;14481
2017;Jan;13343
2017;Feb;13347
2017;Mar;13321
2017;Apr;13327
2017;Mei;13321
2017;Jun;13319
2017;Jul;13323
2017;Aug;13351
2017;Sept;13492
2017;Oct;13572
2017;Nov;13514
2017;Des;13548
2016;Jan;13846
2016;Feb;13395
2016;Mar;13276
2016;Apr;13204
2016;Mei;13615
2016;Jun;13180
2016;Jul;13094
2016;Aug;13300
2016;Sept;12998
2016;Oct;13051
2016;Nov;13563
2016;Des;13436
2015;Jan;12625
2015;Feb;12863
2015;Mar;13084
2015;Apr;12937
2015;Mei;13211
2015;Jun;13332
2015;Jul;13481
2015;Aug;14027
2015;Sept;14657
2015;Oct;13639
2015;Nov;13840
2015;Des;13795
2014;Jan;12226
2014;Feb;11634
2014;Mar;11404
2014;Apr;11532
2014;Mei;11611
2014;Jun;11969
2014;Jul;11591
2014;Aug;11717
2014;Sept;12212
2014;Oct;12082
2014;Nov;12196
2014;Des;12440
2013;Jan;9698
2013;Feb;9667
2013;Mar;9719
2013;Apr;9722
2013;Mei;9802
2013;Jun;9929
2013;Jul;10278
2013;Aug;10924
2013;Sept;11613
2013;Oct;11234
2013;Nov;11977
2013;Des;12189
2012;Jan;9000
2012;Feb;9085
2012;Mar;9180
2012;Apr;9190
2012;Mei;9565
2012;Jun;9480
2012;Jul;9485
2012;Aug;9560
2012;Sept;9588
2012;Oct;9615
2012;Nov;9605
2012;Des;9670
2011;Jan;9057
2011;Feb;8823
2011;Mar;8709
2011;Apr;8574
2011;Mei;8537
2011;Jun;8597
2011;Jul;8508
2011;Aug;8578
2011;Sept;8823
2011;Oct;8835
2011;Nov;9170
2011;Des;9068
2010;Jan;9365
2010;Feb;9335
2010;Mar;9115
2010;Apr;9012
2010;Mei;9180
2010;Jun;9083
2010;Jul;8952
2010;Aug;9041
2010;Sept;8924
2010;Oct;8928
2010;Nov;9013
2010;Des;8991
