;Year2;2014
2014;JAN;15.45
2014;FEB;32.2
2014;MAR;22.18
2014;APR;23.58
2014;MAY;27.56
2014;JUN;32.7
2014;JUL;26.62
2014;AUG;33.82
2014;SEP;29.76
2014;OCT;24.2
2014;NOV;26.91
2014;DEC;22
2015;JAN;18.33
2015;FEB;15.5
2015;MAR;25.33
2015;APR;16.67
2015;MAY;25.77
2015;JUN;20.63
2015;JUL;27.82
2015;AUG;23.71
2015;SEP;30.24
2015;OCT;30.67
2015;NOV;27.38
2015;DEC;12.6
2016;JAN;28.67
2016;FEB;18.63
2016;MAR;24.08
2016;APR;32.64
2016;MAY;23.76
2016;JUN;27.83
2016;JUL;24.33
2016;AUG;33.09
2016;SEP;37.04
2016;OCT;27.79
2016;NOV;25.07
2016;DEC;27.8
2017;JAN;23.83
2017;FEB;0
2017;MAR;27.7
2017;APR;28.09
2017;MAY;30.6
2017;JUN;34.4
2017;JUL;33.74
2017;AUG;34.48
2017;SEP;20.9
2017;OCT;29.47
2017;NOV;32.1
2017;DEC;35.89
2018;JAN;26.14
2018;FEB;18
2018;MAR;26.5
2018;APR;30.28
2018;MAY;31.84
2018;JUN;36
2018;JUL;41.19
2018;AUG;29.19
2018;SEP;29.6
2018;OCT;35.81
2018;NOV;33.57
2018;DEC;31.43
2019;JAN;25.43
2019;FEB;27.25
2019;MAR;25.44
2019;APR;28.32
2019;MAY;37.54
2019;JUN;35.35
2019;JUL;34.54
2019;AUG;39.79
2019;SEP;36.7
2019;OCT;45.08
2019;NOV;32
2019;DEC;29.37
2020;JAN;12
2020;FEB;27
2020;MAR;21.67
2020;APR;0
2020;MAY;27.11
2020;JUN;34.05
2020;JUL;33.57
2020;AUG;44.5
2020;SEP;38.44
2020;OCT;35
2020;NOV;34.68
2020;DEC;39.67
