Years;Month;NTN
2019;JAN;113.78
2019;FEB;113.96
2019;MAR;113.16
2019;APR;112.47
2019;MAY;113.08
2019;JUN;113.64
2019;JUL;113.46
2019;AUG;114.24
2019;SEP;114.79
2019;OCT;114.28
2019;NOV;113.67
2019;DEC;114.29
2018;JAN;112.49
2018;FEB;112.81
2018;MAR;112.27
2018;APR;111.79
2018;MAY;112.36
2018;JUN;113.52
2018;JUL;113.67
2018;AUG;114.16
2018;SEP;114.69
2018;OCT;114.37
2018;NOV;113.58
2018;DEC;113.53
2017;JAN;109.85
2017;FEB;110.38
2017;MAR;110.02
2017;APR;109.85
2017;MAY;110.18
2017;JUN;111.01
2017;JUL;111.21
2017;AUG;111.53
2017;SEP;111.68
2017;OCT;111.77
2017;NOV;112.18
2017;DEC;112.51
2016;JAN;106.69
2016;FEB;107.37
2016;MAR;106.67
2016;APR;107.37
2016;MAY;107.61
2016;JUN;108.42
2016;JUL;108.89
2016;AUG;109.07
2016;SEP;109.23
2016;OCT;108.88
2016;NOV;109.07
2016;DEC;109.58
2015;JAN;105.48
2015;FEB;106.72
2015;MAR;106.2
2015;APR;105.18
2015;MAY;105.28
2015;JUN;105.89
2015;JUL;107
2015;AUG;106.89
2015;SEP;106.6
2015;OCT;106.56
2015;NOV;106.12
2015;DEC;105.8
2014;JAN;103.69
2014;FEB;103.98
2014;MAR;103.38
2014;APR;103.53
2014;MAY;103.89
2014;JUN;104.34
2014;JUL;106.02
2014;AUG;106.44
2014;SEP;106.38
2014;OCT;106.66
2014;NOV;104.26
2014;DEC;102.97
